,Movie Name,Description,Genre,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross (in M)
47,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Crime,1998,119,8.5,62        ,1129506,6.72
48,The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Biography,2002,150,8.5,85        ,839812,32.57
49,Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Drama,1942,102,8.5,100        ,575774,1.02
50,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Biography,2011,112,8.5,57        ,866379,13.18
51,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Horror,1960,109,8.5,97        ,676977,32.0
52,Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western            ,1968,165,8.5,80        ,332682,5.32
53,Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,Animation,1988,89,8.5,94        ,280960,
54,Rear Window,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Mystery,1954,112,8.5,100        ,495471,36.76
55,Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Drama,1988,155,8.5,80        ,263813,11.99
56,Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Action,2019,145,8.5,0,34106,0.0
57,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Comedy,1936,87,8.5,96        ,244851,0.16
58,City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Comedy,1931,87,8.5,99        ,186318,0.02
59,96,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,Drama,II) ,158,8.5,0,32250,0.0
60,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Action,2019,181,8.4,78        ,1146205,858.37
61,Joker,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,Crime,I) (,122,8.4,59        ,1307884,335.45
62,Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Action,1981,115,8.4,85        ,973313,248.16
63,Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Drama,2012,165,8.4,81        ,1568756,162.81
64,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama            ,1999,122,8.4,84        ,1161018,130.1
65,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Action,2018,149,8.4,68        ,1093586,678.82
66,The Dark Knight Rises,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Action,2012,164,8.4,78        ,1716460,448.14
67,Oldeuboi,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Action,2003,101,8.4,77        ,585458,0.71
68,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Animation,2018,117,8.4,87        ,540270,190.24
69,The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Drama,1980,146,8.4,66        ,1031229,44.02
70,Memento,A man with short-term memory loss attempts to track down his wife's murderer.,Mystery,2000,113,8.4,81        ,1246849,25.54
71,Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Biography,1995,178,8.4,68        ,1043891,75.6
72,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Action,1986,137,8.4,84        ,723232,85.16
73,Idi i smotri,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Drama,1985,142,8.4,0,82315,
74,Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Biography,1984,160,8.4,88        ,404522,51.97
75,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Biography,2020,160,8.4,89        ,97549,
76,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation,I) (,105,8.4,81        ,517420,209.73
77,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Animation,2008,98,8.4,95        ,1124574,223.81
78,Kimi no na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Animation,2016,106,8.4,79        ,274202,5.02
79,The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Drama,2006,137,8.4,89        ,392321,11.29
